ResponseId,DatabaseWantToWorkWith
177,Microsoft SQL Server
178,MySQL
180,PostgreSQL
181,BigQuery
181,PostgreSQL
181,Redis
182,Microsoft SQL Server
182,PostgreSQL
183,Cosmos DB
183,Microsoft SQL Server
183,PostgreSQL
183,Redis
185,PostgreSQL
185,SQLite
186,MySQL
186,PostgreSQL
187,Snowflake
188,SQLite
189,Dynamodb
189,MongoDB
189,PostgreSQL
190,Cosmos DB
190,Elasticsearch
190,Microsoft SQL Server
190,Redis
191,Microsoft SQL Server
191,Neo4J
191,Redis
192,Dynamodb
192,Redis
192,SQLite
193,H2
193,Redis
194,Firebase Realtime Database
194,SQLite
196,Cassandra
196,Cloud Firestore
196,Cockroachdb
196,Dynamodb
196,Firebase Realtime Database
196,MariaDB
196,Microsoft SQL Server
196,MySQL
196,PostgreSQL
196,Redis
196,SQLite
197,MariaDB
197,Redis
199,Couch DB
199,H2
199,MariaDB
199,PostgreSQL
200,Elasticsearch
200,H2
200,MySQL
201,PostgreSQL
201,SQLite
201,Supabase
205,MongoDB
205,Neo4J
205,PostgreSQL
206,Microsoft SQL Server
207,MariaDB
208,SQLite
209,PostgreSQL
209,SQLite
210,Databricks SQL
210,Microsoft SQL Server
210,PostgreSQL
210,Snowflake
211,Elasticsearch
211,MongoDB
211,PostgreSQL
212,Dynamodb
212,MySQL
212,Redis
213,Microsoft SQL Server
214,SQLite
215,PostgreSQL
216,Microsoft SQL Server
217,Cloud Firestore
217,Firebase Realtime Database
218,Cassandra
218,Cosmos DB
218,Elasticsearch
218,EventStoreDB
218,Microsoft SQL Server
218,MongoDB
218,PostgreSQL
218,RavenDB
218,Redis
220,MongoDB
221,MySQL
221,PostgreSQL
221,SQLite
222,Dynamodb
222,PostgreSQL
223,PostgreSQL
224,Dynamodb
224,Elasticsearch
224,MongoDB
224,Neo4J
224,PostgreSQL
224,Redis
226,PostgreSQL
230,Dynamodb
230,MongoDB
230,MySQL
230,Snowflake
231,PostgreSQL
233,PostgreSQL
233,SQLite
234,Cloud Firestore
234,MariaDB
235,Cloud Firestore
235,Firebase Realtime Database
235,MongoDB
235,PostgreSQL
235,SQLite
238,Cosmos DB
238,Microsoft SQL Server
239,PostgreSQL
239,Redis
239,SQLite
240,BigQuery
240,Cloud Firestore
240,Firebase Realtime Database
240,Microsoft SQL Server
240,MongoDB
240,Oracle
240,Redis
240,SQLite
240,Supabase
241,MySQL
242,MySQL
243,Microsoft SQL Server
243,MySQL
243,Oracle
243,SQLite
244,H2
244,PostgreSQL
247,MariaDB
247,SQLite
248,MySQL
248,SQLite
249,MariaDB
249,Microsoft SQL Server
249,MySQL
252,SQLite
254,Microsoft SQL Server
254,MongoDB
254,Redis
255,PostgreSQL
255,SQLite
256,Dynamodb
256,MongoDB
256,Redis
257,MariaDB
257,MySQL
258,PostgreSQL
262,PostgreSQL
263,InfluxDB
263,MySQL
263,PostgreSQL
263,SQLite
264,PostgreSQL
265,PostgreSQL
267,Microsoft SQL Server
267,MySQL
271,Cockroachdb
271,Elasticsearch
271,PostgreSQL
271,Redis
272,PostgreSQL
273,MySQL
274,Cassandra
274,Microsoft SQL Server
274,PostgreSQL
275,PostgreSQL
276,Microsoft SQL Server
276,MongoDB
276,PostgreSQL
278,Firebase Realtime Database
278,H2
278,MongoDB
278,SQLite
280,Elasticsearch
280,Microsoft SQL Server
280,MySQL
280,PostgreSQL
280,RavenDB
280,SQLite
281,Elasticsearch
281,MySQL
284,Cosmos DB
284,Dynamodb
284,InfluxDB
284,MongoDB
284,MySQL
284,PostgreSQL
284,Redis
284,SQLite
284,Supabase
285,MySQL
285,PostgreSQL
285,SQLite
285,Supabase
286,MongoDB
286,Redis
287,SQLite
288,PostgreSQL
290,MongoDB
290,SQLite
291,Couch DB
291,MariaDB
291,MongoDB
291,MySQL
291,PostgreSQL
292,BigQuery
292,Cockroachdb
292,InfluxDB
292,MariaDB
292,MongoDB
292,MySQL
292,PostgreSQL
292,Redis
292,SQLite
293,Cassandra
293,MongoDB
293,MySQL
293,PostgreSQL
293,SQLite
295,MySQL
299,MySQL
299,Neo4J
300,Elasticsearch
300,Microsoft SQL Server
300,MySQL
301,PostgreSQL
301,SQLite
302,PostgreSQL
302,SQLite
304,MySQL
304,PostgreSQL
306,Elasticsearch
306,PostgreSQL
307,Cassandra
307,Cosmos DB
307,Databricks SQL
307,Elasticsearch
307,MariaDB
307,MongoDB
307,MySQL
307,PostgreSQL
311,Elasticsearch
311,MySQL
311,Redis
312,Elasticsearch
312,Firebase Realtime Database
312,Firebird
312,MariaDB
312,PostgreSQL
314,PostgreSQL
314,Snowflake
315,Elasticsearch
315,PostgreSQL
317,MariaDB
317,MongoDB
317,MySQL
317,PostgreSQL
318,Dynamodb
318,PostgreSQL
318,Redis
320,Elasticsearch
320,MySQL
320,PostgreSQL
321,Clickhouse
321,Cockroachdb
321,MongoDB
321,PostgreSQL
321,Redis
322,PostgreSQL
322,Redis
322,SQLite
323,Firebase Realtime Database
323,MongoDB
323,PostgreSQL
324,Firebase Realtime Database
325,MariaDB
325,MySQL
326,MariaDB
327,PostgreSQL
327,SQLite
328,Cosmos DB
328,Microsoft SQL Server
328,RavenDB
328,Redis
331,Microsoft SQL Server
331,MySQL
331,SQLite
332,MariaDB
332,MySQL
332,PostgreSQL
333,Microsoft SQL Server
333,Redis
335,MySQL
335,SQLite
336,Cosmos DB
336,Databricks SQL
336,Microsoft SQL Server
336,MongoDB
336,Oracle
336,PostgreSQL
337,Redis
338,MariaDB
338,MySQL
341,MariaDB
341,MySQL
341,PostgreSQL
342,Clickhouse
342,H2
342,PostgreSQL
342,SQLite
343,SQLite
343,Supabase
344,IBM DB2
344,Microsoft Access
344,Microsoft SQL Server
344,MySQL
345,PostgreSQL
346,Redis
347,H2
347,Oracle
347,SQLite
350,BigQuery
350,Cloud Firestore
351,BigQuery
351,MariaDB
351,MySQL
351,PostgreSQL
351,Redis
351,SQLite
352,Cloud Firestore
352,Microsoft SQL Server
352,MongoDB
352,MySQL
352,SQLite
353,Microsoft SQL Server
353,SQLite
355,Dynamodb
355,Elasticsearch
355,MySQL
358,MySQL
358,PostgreSQL
358,Redis
358,SQLite
359,BigQuery
359,Cloud Firestore
359,Firebase Realtime Database
359,MongoDB
359,Redis
360,Couch DB
360,Microsoft SQL Server
360,MongoDB
360,PostgreSQL
363,Clickhouse
363,PostgreSQL
364,Dynamodb
364,MySQL
364,Redis
365,Oracle
366,IBM DB2
366,Microsoft SQL Server
366,MySQL
366,Oracle
367,MySQL
368,MySQL
368,SQLite
371,MySQL
371,SQLite
372,PostgreSQL
373,Microsoft SQL Server
373,PostgreSQL
375,PostgreSQL
376,H2
376,MySQL
376,PostgreSQL
376,SQLite
377,Oracle
377,PostgreSQL
378,Microsoft SQL Server
378,PostgreSQL
379,MySQL
380,Clickhouse
380,DuckDB
380,PostgreSQL
380,SQLite
381,Redis
383,BigQuery
383,MariaDB
383,PostgreSQL
383,Redis
383,Snowflake
384,H2
384,MariaDB
384,Microsoft SQL Server
384,MySQL
385,BigQuery
385,PostgreSQL
385,SQLite
386,BigQuery
386,PostgreSQL
386,Snowflake
387,MongoDB
387,PostgreSQL
389,Supabase
390,Cassandra
390,MariaDB
390,MongoDB
390,Snowflake
391,Couch DB
391,PostgreSQL
391,Redis
391,SQLite
392,BigQuery
393,BigQuery
393,PostgreSQL
393,Redis
394,Microsoft Access
394,Microsoft SQL Server
394,MySQL
394,Oracle
394,PostgreSQL
394,SQLite
395,MongoDB
395,MySQL
395,PostgreSQL
395,Supabase
396,BigQuery
396,PostgreSQL
397,PostgreSQL
397,Redis
397,SQLite
397,Supabase
399,Microsoft SQL Server
399,MongoDB
399,PostgreSQL
400,MongoDB
400,PostgreSQL
400,Redis
401,PostgreSQL
403,SQLite
405,MariaDB
405,MySQL
405,PostgreSQL
405,Redis
405,SQLite
406,Cassandra
406,MongoDB
406,MySQL
407,MongoDB
407,PostgreSQL
407,Redis
407,SQLite
408,Cassandra
408,Couch DB
408,Dynamodb
408,Elasticsearch
408,MongoDB
408,Neo4J
408,PostgreSQL
408,Redis
408,SQLite
410,PostgreSQL
411,Clickhouse
411,Elasticsearch
411,MongoDB
411,Redis
412,MariaDB
412,MongoDB
412,MySQL
412,PostgreSQL
413,PostgreSQL
413,SQLite
413,Supabase
414,Cloud Firestore
414,Firebase Realtime Database
414,SQLite
416,MongoDB
417,Cockroachdb
417,Elasticsearch
417,PostgreSQL
419,Firebase Realtime Database
419,H2
419,Microsoft Access
419,Microsoft SQL Server
419,MySQL
419,Snowflake
419,SQLite
420,Microsoft SQL Server
